CAMPAIGN_ID,NAME,VARIATION_NAME,PERCENTAGE_DISCOUNT
473b150ce240d64fec761fd6c281aa8b,21/12/18 - abandoned browse - 25%,20% off,25
d7fb540732e69a8b6b61886dd96fadb0,R- 17/11/19 - Mention Me competition - Paris,Text,15
1a4ebc3df09c2d15a60a2ab5c98e9950,DE - 30/03/2020 - text email - payday OPT OUT - 10%,10% MDAY OPT OUT,10
2443acce5281d8b9cbf000ced71f155b,30/08/18 - B3GOF final reminder TEXT 1ps,1ps,15
c0792dff10486fb55ac2cddcbc8f2eb2,"DE - 03/11/2019 - last chance autumn collection, seg 1,2,3",variante 1,15
ccb4fd1e1df55b05b8d3fc3f374a9234,14/03/17 - Hannah launch 10% version,Variant 1,10
2ab05d50abe5d46f047db08420a76c6c,14/12/18 Liberty last chance - 10% off,Variant 1,15
3f072b45253d70304c26036ba8908d0e,29/11/19 - BF abandon browse text email - 20% version - POWER users (until tues),CVJ74,20
2da0d3bc8347052f12f1ebb71ab9615a,09/07/17 - Mention Me Text Email - 10/10,,25
fc1e2675b22d65c2bd2c71117a1a7826,18/02/19 Best of spring - The Asher + Farrah - 15% off (EARLY SEND),Variant 2,15
ccc409a982f0cda2a36d979a79dabeee,04/01 - The Ava extended,White white white,
b7668eb6e43e340ea1ea8e8b650708b5,Frontline Email Decline,Text - original,40
555cd871354edc18f3661159db551023,27/08/19 The Harper - discount dependency = 2,zerocode,0
a37e8c9a308a737d12258218a7576b48,14/12/18 Plants Alternative gifts - 10% off,Variant 1,15
b3ed46d9760fa15849392785ec479caf,05/11/18 FTP 10% off - Bonfire night,Variant 1,10
5a1cc0ef8a3a068a0c8e197985ea41b7,29/10/19 Orla - halloween - zerocode,CTA bottom,15
5f164dce0c6726e928f7b63a294edbca,CRM - Rewards 90 days - winners - 2019,Variant 1,0
2e08d31b08d601e25746ecddc46eb2fd,29/07/19 The Sale 15% off,Variant 1,15
dd187a0e9bd98d49ea46e142309927ee,27/06/18 - FTP - HOT £3 off TEXT resend,10% off,
d3a9995dc657118ce8ba220c97911de8,15/06/20 - lapsed - text email,,20
fdb631376f5d49f23de9bb7c518458f8,16/11/17 - Friendsgiving - LE 15%,Variant 1,15
74df71a0720250a3ed59ead89e7a476e,DE Repeater programme - iOS push abandoned basket same day (Weekday),Variant 1,0
4f7b246686624bc397cd8d3fb6ae1ae2,FR - 26/02/20 - GMDay newsletter - 15%,with discount,15
d6e82fca1004bc9880a704db9e2b06ac,13/02/19 - mvday8 - Bundle propensity (Exclude recent bundles) (Resend),no bundle tag: J5REW,15
cfc5cee2d58dec38bac702b4319dfee6,06/02/2019 - DE International Women´s day,Variant 1,
24a1caa59f07ef074b9d7fb8fc6e86a3,08/03/18 - 5mmmdaytext - zero,OLD copy,15
8be276abeb9f7d89b4b25eb22e0e7320,"08/05/2019 - DE order in time for mday, text, group 0",Variant 1,20
4769ee4bb313afc1731945626b36c72c,15/12 - 14Text - FTS NEW,,20
6908f60479cf04c12ae33c1670837789,01/06/20 - push - Android 0%,10%,0
59b65d49ddafa085020b47b399d0490f,4/12 - Treemail send to not bought <1m,Treemail,15
ade8b3e6a135589ec92d052197400aeb,11/10 - GBBO,no gift collections,0
220889d40c0115c5587b8d7cbac2cece,DE - 28/04/20 - MDay gift guide - mday opt IN - 15%,15%,15
9a3f8ae041e275598dd86d530766498f,06/03/18 - Free Prestat Addon for Mday (WOMEN),Variant 1,
fe81eadbbaa0b3c4715297e732a9743f,10/02/19 At Risk Text Email - 20% off,FRE83,20
9dc0b77d23a15403183062f3109777d4,22/05/18 - Let's celebrate addon + peonies,Variant 1,
e37f60d7705bd67b5bd2fabdf1c3de5e,13/06/19 Olivia + Hallie - 10% off (fday opt out),Variant 1,10
4e14bba9d8b297036872bf0b9e234817,21/03 - Easter! tenamsend,Variant 1,0
b2b6a17ef0235c6223fb1ab165bccc73,"08/02 Vday segment 8 (repeaters, not in other segments)",15% off,15
eb80461b394bb2ee830d14c9d3a7f0fe,CRM NEW - B2B LEADS invoice leads,V1,15
ee80ee5616a56f9ff7748bade02eadcc,FR- 12/02 Text Email - Last Days Vday,Text,20
69f71404c3ac298a77600407565ad1bc,22/03/19 - 22text6 - Women Core + Power,15% off: 89JRW,15
b7e8ccc4c81f29fe796538e1f880733e,13/02/17 - Last chance VDAY £10 - WOMEN,Variant 1,
10523201f3c5081517a588b51c268af5,09/08/18 The Maria 15% BALMY old,The Maria,15
d9ab86f62e4422be2820001ce73f9e1e,Reviews.co.uk product booster (manual),Variant 1,15
da8e1e615efe38d8971bd85596423404,04/11 Treat yo'self - Marshmallow,Variant 1,
d5644bb62b8216b19eb0c4f928907744,20/03/17 - 10% OFFER - 9text FTS,Text,10
90535c07d5998b9960d4fb5546973fe8,30/07/18 - Triple the freesia in the Daisy - occasions driver,Variant 1,
8998d9bdf1c182f1b5345810b6ee37dc,"05/12/19 LV Xmas collection: Alba, twinkle, collection banner - 15%",A - no description,15
6af6b7f08f0b7c432236dfaf3240b4f5,14/04/20 - Gifts for every occasion - zerocode - 6.30pm (RW23Q),Variant 1,
fe9603ec4a0a9e3357fe000c5b422a45,25/08 - Summer sale (app users),£10 off,
5793afebaae0da08c05b5125143e9a7c,"DE - 10/12/2019 - FTS 15€ off, text, christmas",Variant 1,
21a79dd6c21a878e5be109ff56c6cbdd,"DE - 29/09/2019 - our birthday, seg 2,3",new  header,20
9d65b438cd9a8888481290f12ee1e404,26/12/19 Boxing Day Sale - Push - iOS 10% off,offer displayed,10
754343de3f5ab2f2c9b01c5fe92406ba,12/11/19 FTP33 - 15% version,V1,15
a384eb5a6fa25692801cda9ce90af6d9,06/08/19 Push Notification - IOS 15% off,GIF: BOUQUETS,15
23229d991a0c5bf0ffa7c61865af35b7,19/05/20 - Most Loved by you - 10% - A/B,UGC,10
836bf3eebadd45cc3edbb38ade92548d,Repeater programme - iOS push abandoned basket same day (Weekday),Control Group,0
b145385c9c071db6d1c123354dfeb02e,21/12/18 - abandoned browse - 20%,20% off,20
bd75454bc9061879980cbbaa6c106d15,15/08/19 Unsub sorry text email - recently ordered - £5 off,CVJ74,
ec737ccea5458f106b19c4e86c513f59,15/11 - Treemail 2016 FTS £10,Variant 1,
2ece3931bb0ceb87051b8a170fcd8452,26/06/20 - VIP Stock - text email - 20%,Range of Bouquets,20
5d16ae8aa19323ff658521fc279073bf,16/06/20 - The Charlie + Chilli - CONTROL - zerocode,Plant Led,0
b9d156804af7f4512f06ce892ddf1f2f,20/11/19 - Tiny Treemail resend text email 10%,CVJ74,10
9e05a6d4ca76af8c2e69a352fe453ee3,16/06/20 - The Charlie + Chilli - FDay Opt IN - 10%,Plant Led,10
40e01548e730393dbe64781ecb77f569,22/11/18 Black Friday - Thursday Creative Test,Discount + no pun,15
6f8a2722d9d8846bb36157b3e9df2514,03/12/18 Android push - FTP 10% off,Rich push,10
6671d90336e760cdd908809696611dff,30/05/2017 - FTS text email 50% off peonies,,0
951da6fbec2ff1cc30a92492fbc8ea0f,050520TEXT7 - 0% PD,0% ,0
8fb31277ed61f33834302a4892837f70,05/03/19 New in (sensitive list) - 10% off,Variant 1,10
ee1ed8566d969127c28ab0ea877932c6,27/11/17 - Cyber Monday - FTS £10 off,£10 off FTS,
f8d1c4099b88fb1b140d372d20d64ea1,"DE - 03/12/19 - IAM, Cyber Tuesday 25%",Variant 1,25
873695d6a0587869c72786ef6b7082d1,13/12/17 SL TEST - 10xmastext - 10% - Aron - 76132EF,We like you too,15
7bdedb760f12c5a84add748a6e63ca2e,FR - 14/05/20 - New Collection Launch - zerocode,0%,0
4ae1947c84b71218d15b2b6372763bea,13/02/18 - PUSH - vday 20% - iOS,Variant 1,15
ded34c1b3519cf75c9f0815ef2b86a98,26/06/20 - IAM - 20%,VIP,20
d588d58c5f668cec8b2436e3c0f4d704,24/11/17 - Android push - Black Friday,Variant 1,
6d9dced0f943b8a4072bbac2966cb4b7,Password reset (en) - 5.0,Christmas banner,15
91c40d96084e7f8dc2a7385119277049,30/01/20 - Alissa - A: COLOUR - 15%,B - White Background,15
01f147c8fca821400d1542999659481c,03/12/19 - £10 sale extended FTS - text email £10,SL no discount,
01f147c8fca821400d1542999659481c,03/12/19 - £10 sale extended FTS - text email £10,SL discount,
13909ffea3f2b467007fa615422bf956,22/11/18 Black Thurs - Double stems Aspen,Variant 1,
04a1d77b42d23516320d9de98d7e6bbf,Delivery shipped (en) - 6.5 (covid),Original,0
afb8941a7a3ceb8c6a6bb858e7353774,130320TEXT12 - Max order >£30 - A/B TEST,130320TEXT12 - Max order >£30 (A) - Regular discount,20
104951e14d050028136c39bda3e6ce2b,20/12/17 last minute xmas 15%- Recommended Bouquet - Edie,Variant 1,15
933b03cbedefdf76f0cd508cef2a5792,DE - 29/01/20 - Clara (clemmie) - 15%,variante 1,15
60e021584c673452a8ffb47c27090b26,FR- 22/03/18 - Free chocolates,Emoji,
f69117ade637c12128d0465a1cea4c3e,FR- 14/11/19 IOS - IAM 5€ off,Variant 1,15
2bafb8eb7e440d4c73fb419d14b84e75,09/01/18 - Occasions Driver - app people,Variant 1,0
15b32972d4a33d3e5c13a9aa2cd70d08,020620TEXT7 - REST  - A/B,PERSONALISED,15
3d344e84af30ef9c00a4bfe8c8490d9f,FR- 10/10/19 Gift ideas,With Prices,15
273e13f7466378e4fefd860b725e3942,DE - 28/06/20 - 10% - IAM - FTP,10%,10
4db81cd0507bd479252cbcfb8f3959d8,04/11/19 Evie XL bonfire -10% off,Static: YOURSURPRISE,10
a4350f7064811981162c99bd0296691b,04/07/17 - Rowan Hand-tied launch (High AOV version),Variant 1,0
1e47da75631db1f4a39cedf335482dfe,19/12/17 - Last free delivery for xmas - Android push,Variant 1,15
99ca095580c2461294a9f9ac7b63a312,UK - 30/06/20 - Text Email - Lapsed - 20%,,20
b1bcb821497d481500d772c7fc926b46,DE- Repeater programme - Abandoned basket same day,HTML version,15
7c87bafa7b7f7dd044667656146c918f,23/10/18 The Orlagh - Addon previous customers,Variant 1,
60cac711b3e6539bc837790a231a6850,7 xmas segment (single-orderers - not rec'd 1-6),C) HAND-TIED,20
3d6fe8890cd41d1238a4cd83ef235f08,15/12 - 8Text - Hand-tied,Text,15
1a63c26f3b8cc2dbc583b1cf63ee1d96,28/03/19 - 28text5 - Women Bought for Mother's day last year,10%: SE43A,15
ef3e1e4db3e00e698369980615e5a61a,26/11/18 - At Risk/ Lapsed 20% Text email - Cyber Monday,20% off,20
8c9fbd2e28f1b96584860d3409a2047a,25/10/18 - Orlagh 15% off booster TEXT RESEND,Cerise,15
ab8bf2a9476e8d41df20870395c64d5f,25/10/18 The Harper + plant banner,Hero no text,0
a9472fabed8de0944952540f8d909ec3,12 Days Competition 17/12/19 - 1612TEXT12 - FTS - £10 OFF,,15
71d42a6852c7c27e53ae330f6c607ea6,12/02/19 Push Notification - IOS - 25% off,: SALETIME,15
e912a485413c5e82f2938d2bb7bbeafa,16/06/20 - The Charlie + Chilli - FDay Opt IN - zerocode,Flower Led,0
990782980f788a9ac3f7dca96a70c4b4,13/12/18 xmas18text8 - Core users - 15% off,20% off,15
39317d22e37abf655e4fac9a9ed0252a,"DE - 06/10/2019 - pantone colours 15% off, seg 2,3",html,15
84da1218f6e81bdd41b7637c58e3290e,"DE- first order -Thank you message via app -Welcome to Bloom& Wild- 1 educational ( pref 1,2,3)",Control Group,
9b5c06e86ef2268d27b7769b3505cb4c,27/02/20 - Mille + Kate - zerocode - A/B Test,A - Black,0
24c2d894935a9d36a0773926a95a7c50,31/05/19 At Risk text email - 20% off,CVJ74,20
88ea519beb1ffc4904e96698b22a676c,FR- 29/11/19 Black Friday Email - Repeats,With Prices,15
3e4e995b1920114c9f6717ffeee18679,25/06/20 - Hannah + Katy - NL (editorial) - 0%,Editorial,0
c35b9f685864193014052c3d0926bb2e,24/03/19 WAH collection - 10% off,Variant 1,10
6d8d5cfade38438e5fe6a98fab0b7b4a,18/09/2019 app improvements survey,CVJ74,10
9b2b86fac24f2abafc44fbd57dc8d6ac,20/05/19 Push Notification - IOS - IAM SALE,GIF: BOUQUETS,15
b74178c469a3a81713bf158e19f47749,STOPPED: HV - Thank you for 10th order (£5 offer),,
5265295731019b5b0071e33b38450567,27/09/18 Android push 15% off Orlagh,Rich push,15
5f301ea9f8dd177c0859e4d822891d83,16/03/17 - Anoushka + Free candles CORRECT take 3,Variant 1,
9ab1299da1ed25c4d0561b4343b2e1fd,13/05/19 At Risk text email - 20% off,CVJ74,20
6cb531a9fb64205ad218287cffc83a22,13/02/19 Push notification - IOS - FINAL HOURS,: SALETIME,
d2f2f792a4b2486dfe45e2ea7b9e470b,07/03/18 - 10mdaytext - 20% (FTS),OLD copy,20
54a4e135db5f7f51babba62e4b35df83,"DE - 19/07/20 - Arielle, Emma, Marie  - zerocode",0%,0
032e19ddb8b8717b3852fbe0ddd9cd67,29/08/19 The Jodie - 10% off - NO RECOMMENDATIONS,V1,10
4cd1268047556f6ed436090ca5994692,29/05/20 - Back in Stock Email Existing Customers,Covid,10
fd6db57d3d6f82fdc2b6e96982162678,03/05/18 - Ella Occasions Email - FTS 20% off,,20
43b3d672033064ff87e7f0c49eae7f7f,11/10/18 Liberty- non liberty buyers,UGC hero,15
77f72f6d53ab6afb6732073372edd111,MDay CRM 1PP Lapsed SURVEY,JMN46,
a1ab419fbbf98759a14836d946277a55,13/09/19 Our birthday text email - £6 off,CVJ74,
99b22006dce5e470472e352404753f42,03/09/19 Morris Launch - £10 off,Old header: NEWSTEMS10,
d32b4b6c6a024845c8cbd15aeea0095b,03/07/19 Push Notification - IOS £5 off,GIF: BOUQUETS,0
93d075ee092c05e0c438eb26c66b73d8,31/05/18 - The Clemmie - Say something nice day,Variant 1,0
769cf6a0719028423611bec3d4171711,09/05 - The Eloise Launch - women,Font experiment,
46be63850f10c6be02c65f62272b38c2,"DE- 03/02/2019 - iOS push 10% off, LIEBE2020",Version 1,10
7ef8d905511b8ee751d4caec5a5c5a35,"FR - 04/08/20 - Celia, Jeanne, Juliet - zerocode",Short,0
16a36c65d89b5edcc4019d060b0cc96f,"DE - 25/08/2019 -  last chance summer collection, seg 1",cTA 1,15
db495c37895ced80d68ffbe875213363,DE - 29/05/20 - Lapsed Text email - 20%,20%,20
970d57d0f06596509c2add64884dd890,05/03/18 - 8wmdaytext PSU73 20% off Dave recommendation,OLD copy,20
dcfdfcc0e0fb737082f42c9f86f2d53e,3rd purchase programme - Mention Me £10/£10,Variant 1,15
ffc5ca489a7c1d0b3ade6632e3dedb96,21/11/17 - Repeaters Treemail - Oct Credit Reminder,Variant 1,0
2c7f0e90318c992d9e5c869a396e5825,05/03/17 - BODEN launch,,15
ed740448202ac418063dfb57d8d6a639,16/03/17 - Mother's Day Edit - hand-tied version,Variant 1,0
608f360339de67b4428dc03ae929833f,27/10 - Anoushka NEW £10 offer,Text first,
76c325b8a2b050a90b6b8a0fcb97f5c0,12/05/20 - Pink Peony Launch - zerocode - A/B Test,colourful,0
4eb2583b1f81176dd39b9c0b98f07e82,18/06/20 - Rosie + Soleil - NL (editorial) - 0% - Fday opt out,,0
1575a145c554b1c5cdf9e7c6656434d9,Rewards - launch email template 4 in 90 days - account holders,V1,15
3cbf22a9089b0b4125e9506d0b2c4d92,UK - 30/06/20 - Text Email - Rest - 3 -6M  - A/B,0%,0
eef2d60d482224b2977bdbde90adb3e4,Copy of 21/12/17 - last xmas delivery - iOS push 15%,Variant 1,
cc660c9b49705239f96a4bdc689f2e24,DE - 10/12/2019 - 0912TEXT11 - REST REPEATERS - 20% OFF,Variant 1,20
ba84f035e8dac6df361cf5d226157cf7,17/03/19 - THE HARPER - Choc addon (mday opt out),Variant 1,
c715c0d00ccaff46522bd95c58868bce,"DE 05/12/19 - Android 20% off last chance nikolaus, NIKOLAUS2019",Rich push,20
3e119714d78bc5914a97a0854482feca,13/10 Mention Me Ireland,Variant 1,10
c17b74cff43786ff640977529a1fcbe5,17/05/18 - 10% peonies push - Android,Rich push,0
c17b74cff43786ff640977529a1fcbe5,17/05/18 - 10% peonies push - Android,No image,15
f63c5fec0c84beb7e51e677b76c9cb71,26/09/17 - Grandparents Day - HV - Arielle version,Variant 1,10
d1236886b10b11f12de3cfa8d3b9cf26,13/09/18 5th Birthday - £5 off,It’s our 5th birthday: £5 off,
deeb046f5b3c85d94d381bf1b71a306a,22/03/19 - 22text1 - Women 25m lapsed,25% off: 45TWS,25
d9e548c064de217ee8e5940d1ae52707,23/11/18 Black Friday - Winner,Click to reveal,20
995d72300d8afd61c1fc6b2253483202,29/05/20 - lapsed - text email,lapsed + self purchase,20
8138f08390452f7e2eff52f297500651,21/11/17 - Treemail - Personalised A/B Test,Personalised,0
c75ee8813c01d66da4b531a815d8dada,20/11/17 - Repeaters Treemail Subject line testing,Open your treemail,0
c92fb02fdb5e83703282ea29f5fabb39,29/11/19 - IAM - BF LAUNCH - IAM 15% off,Variant 1,15
eb88093ea3576083ee1e35e513fe7e9b,FR - 03/03/20 - IWD - 15%,with discount,15
d8db5594aeb89922edb67a9e8be04817,03/07/19 IAM - £5 off,Variant 1,25
b32faa58ea60433cb295c3ddd66457a1,13/11/18 The Erin - 10% off,Hero only,10
222572a2da586c532ed04a0eb178f2ee,DE - 22/01/20 - Evie - 15%,variante 1,15
8267b43071eb7aa867db5051dd3072bd,DE - 07/06/20 - Clara email - zerocode,0%,0
7c985339afac09b636a8d13b7b2cfafd,01/02/18 - Rosie Launch + Dolly Intro,No price point,0
fa2e75b097d65045292c99bf98d74c4f,11/07/19 FTP24 - 15% off,Variant 1,15
fd26ad4a0a5c60cba3aa48f1d6395a7f,10/05 - Web > App 10% existing ios users,Variant 1,10
8a0d2f50e64660cefe38328b7c35dc63,19/12/18 Last chance xmas delivery - text email,15% off,15
30a0752c98dbb83e48b1120e20434bdd,02/08/18 - The Clara - zero,Variant 1,0
24ff5f5fdc3b3181262c40d1cb3cf8ba,130320TEXT8 - Hand tied propensity - A/B TEST,130320TEXT8 - Hand tied propensity (A) - Regular discount,15
1660350556ddf68f8c3e3fbffc27a236,04/12/17 - The Christmas Collection - Repeaters with discount,,10
5820df5ccf5ce06924bdb02d1b3038aa,31/07/18 - The Daisy triple freesia TEXT resend,25% off,
c699c7ad45a0fe7fca2601718191f3f0,25/11 - Black Friday £10 new,Variant 1,
31ce97c234941cbb8f5620067f1b37cb,DE - 22/01/20 - Evie - 10%,variante 1,10
89412f0761f5970c30fa9a9e12219aed,24/12 - Last Minute Saviour,Twas the night,20
bd29a1d3b4ad407eb7ac8d4e58ea198a,17/02/18 - 14m+ Lapsed £10 vs 25%,£10,
a0861586d11f9837eae1d30dc1edd5d0,02/12/19 - Sale Just got better - A/B Test - LAPSED,A 25%,25
ff2b2a5c1258e8956828de0cc54143e9,FR - 28/04/20 - Marcelle - DIY - zerocode,LB 0%,0
40a80939762105c330f31592d55ae6cc,23/05/19 Click to reveal - £5 off,Personalised name: BESTSURPRISE,
c3183951a28409b4590adccae13073a1,"DE - 01/03/20 - IWD, flowers by personality - 15%",variante 1,15
3e4cbf1317892051bdb8d6fc4d130bac,31/08/18 Liberty Sneak Peek VIP,The Maria: You've gotta see her,0
c11a8a7c143e68dc0c969ea909755cf9,08/04 - Win a Year of Birthday gifts (Occasion Planner),Variant 1,
60925f7370f53f441eeb13808e7d2d25,"DE - 04/12/2019 - Nikolaus, 1,2,3, 20% off",,20
8b31bdd6f6d9471eea2d6a0392f564c0,"DE - 06/09/20 - Emma, Rose Plant, Fern - 10%",Plant Led,10
b11cebf562e7d792ba229589424ea42c,11/12/19 - LV FTP35 - 15% version,with description,15
7bf7a5395e049292ff9cae076b6d3e3e,19/05/20 - Push - iOS 15%,15%,15
f5844361ab9f4169ac74ca1b534bfe57,13/02/19 - mvday5 - Bought last vday with valentine in copy- 15% (Resend),Mention bought last year: 9HXW,15
4c7b3e64de4224a0474aceeae1c64e16,08/03/18 - 1mmmdaytext - 10%,OLD copy,10
29eb7514b89820784b179311ec85e148,22/08/17 - Nails inc + Celeste (FINAL),Variant 1,
ce386ca65a9efd1fd23fe2d9611537f6,DE - 19/05/20 - FTP + Maite Kelly - 10% - A/B Test,Old Header,10
8c06abe9e32ccb7588823a19a39676d0,"DE - 06/09/20 - Emma, Rose Plant, Fern - zerocode",Flower led,0
8c06abe9e32ccb7588823a19a39676d0,"DE - 06/09/20 - Emma, Rose Plant, Fern - zerocode",Plant Led,0
08925a9c669dffcdc8ab3194f6b84a25,12/09/18 5th Birthday - £5 off SUBJECT LINE TEST,It’s our 5th birthday: £5 off,
3674836b49d4b8189db7ae6014dfe624,10/05 - Web > App 10% (excluding existing app users),Variant 1,10
499bf5a03d72be40bc2a17e852219ac6,DE - 09/08/20 - Marie + Emma - zerocode,0%,0
c0a3c803a320590072af8491e454deac,130320TEXT7 - Bought for Mother's day last year - A/B TEST,130320TEXT7 - Bought for Mother's day last year (B) - Personalised discount,15
340910fd82b1b63d5577e50a941f69b5,28/02/20 - payday (women) - text email,CVJ74,15
7b789b94f4c9748f60c2b1a1c3cf1d9a,FR - 29/04/20 - text email - lapsed/at risk - AB TEST,20%,20
53e12e173db4021e3fe36188daa63326,06/11/18 - FTP double stem addon,Cerise,
936594cf36424f7dab9a771db935a3bf,24/04/18 - Peony Launch,Variant 1,0
3601ab23199ed7b6b466b6b6a291cb4d,20/04 - Launch the Zara,W. price,
803578b0b36e192ab172023d045c7880,Copy of Competition welcome email (£10 offer),£10 off,
e6c324701b9738d48329dca01b06538f,25/02/20 - The Piper - 15% - A/B/C Test,A - offer in SL (LOVELY15),15
94995a0defc36448eca4e0f8f383b4bf,10/07/18 - Double the stems harper,Addon banner,
2ecd6318154e0449c03808ae5d773bca,21/05/19 Summer days - Zero,2 SKUS: summer210519,0
57ac2e5c3de1854b2074cc8db7391a51,10/10/17 - FTP - LV version - Zero code,Variant 1,20
6f9156cf664fdfc9c8bf44ed448da2a7,26/12/19 - Boxing Day Sale - Click To Reveal - AB TEST - 10%,No CTA button,10
e89a8328de5431c9d85e3258ed0e191d,23/09/19 Click to reveal - 15% off,,15
e89a8328de5431c9d85e3258ed0e191d,23/09/19 Click to reveal - 15% off,GIF: TREAT4YOU,15
f0bd9c5d7582e0fd52f211085167ac01,01/11/18 Zaha and Nov occasions - 10% off NEW,No half hero,10
91c0aa048b4c0ba5d216a1db4e98299d,27/03/19 £5 off - IOS - IAM,Variant 1,
d81c4c2359a92c000c9ebad1007bee57,"New 06/20 - Occasion reminder - Men, -3 days - 15%",New 06/20,15
1ac75941e1fd8658c9341d85b48b428b,DE- 09/05/2019 - iOS push last chance 20% off mday,Version 1,20
cbe946c8e31003118160995660b62930,UK - 28/07/20 - Intl. friendship day  - zerocode - send 2,WITH mentionme,0
0f3e130c1c17b8468c8cc862e4ed94de,04/11/19 Evie XL zerocode,Static: YOURSURPRISE,15
84465150683f2905617613568685ff3a,17/10/18 Daisy Push- IAM,Variant 1,20
f284496e290a95863c6d31f40ceba5cf,05/11/19 - Rewards - 90 day - 1st reminder,GIF: TREAT4YOU,10
71070ae881f8d26ba0757ef9ea434628,21/02/19 - WHY WE LOVE THE ETERNAL LOVE - HV 10% off,Variant 1,10
3ff5dd708228b307e583958a978d0d81,DE - 27/02/2020 - text email - lapsed - 25%,Variant 1,25
168a527741023dfcbb419f1011209bca,DE - 31/05/20 - June Birthdays - zerocode,A - Blog Banner,15
cf3df3d951e677e001795d9f2a0f37f5,FR Repeater programme 15% flash sale followup - 22 weeks lapsed,CI 2019,15
0c2086174d5277d68a9c7a08e6025405,14/06/18 - Android push 10% father's day,Rich push,10
abcec3983822bb5e74bfd67db4e147a0,DE- 1st purchase programme - web to app (25% offer),New template,25
274cf50bc01181b4fdb30254cd1406a2,07/05/19 Last chance coral peonies - 15% off,Variant 1,15
5f6dffb84055ec40ccbec5c84943b7e1,DE - 12/12/2019 - get creative this christmas,variante 1,15
a91dacadc669f348a17ebd6ebaa8ce3b,20/12 - 11Text - Men [RESEND],Text,20
d150be33059044af00de5c9726466796,25/09/17 - iOS push flash sale,Variant 2,0
d8d0ae776f29022ee66c02fd5717d93d,1202TEXT7 - PREVIOUSLY BOUGHT BUNDLES (EXCLUDE RECENT BUNDLES) - MEN - 15% OFF,A- Valentines Subscriptions,15
61eab62b7fad8daa0e152eeb72611abb,19/10/2017 - FTS text email a/b/c/d/e test,£10 off,
918d3b6198909d0b96bcd197e7d2ff1f,11/01/18 - Blue Monday - Zero code version,Variant 1,0
eb99622e29a3cb38768dbc9d15d6f0cc,FR- 28/02 Text Email - Gday,Text,20
42a17b46fc03be017208c1ff01655113,13/06/17 - Last week of Peonies Email,Variant 2 - video version B,0
e607fc5172d1e3d3082155235e65c34a,FR- 13/06/18 - Father's Day,Emoji,0
96b7d2418f616c21dffb23d8e0231c51,09/02/18 - 7vdaytext KH4J1 10% off dave recommendation,New copy,10
c57ed6a7c45f0a61935b59fd84ac0a01,06/06/18 - Piper survey,Text,15
710cec11da46a4c3707dde15642dd97f,01/12 - Cyber Tuesday £10 - leads,Gold,
0c4fbdb1668e7af56d01ad163c2179f7,160320TEXT14 - SWEEPUP,160320TEXT14 - High Value >£30 - SWEEPUP,20
eebc7032f142ad73f5cd26a48798d8a5,30/10/18 Halloween Trick or Treat,Treat,
2a83fb239aeb7793d1c3663ba4313eee,21/03/19 Mday collection - 10% (non mday),Variant 1,10
