,campaign_type_1,opened_1,camp_volume_1,users_received_8,campaign_type_8,disc1_pre_3days,disc1_pre_6day,disc1_pre_14dat,disc2_pre_4days,disc2_pre_14day,disc3_pre_1day,disc5_pre_13day,products_pre_7day,products_pre_14day,new_users_pre_3days,volume_pre_3days,volume_pre_7day,volume_pre_14day,full_revenue_pre_7day,year,month,users
26,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,3.0,5.0,5.0,10.0,3.0,6.0,8200.0,2015,12,0.0
27,2.0,7.0,29.0,7.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,2.0,3.0,5.0,9.0,2.0,3.0,5400.0,2015,12,1.0
28,2.0,44.0,107.0,125.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,2.0,5.0,2.0,1.0,7825.0,2015,12,1.0
29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,1.0,4.0,1.0,3.0,2400.0,2015,12,0.0
30,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,5.0,2.0,1.0,7400.0,2015,12,1.0
31,1.0,36.0,134.0,132.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,1.0,2.0,5.0,6.0,1.0,14000.0,2015,12,2.0
32,1.0,3.0,4.0,26.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,6.0,2.0,1.0,7600.0,2015,12,0.0
33,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,2.0,5.0,1.0,3.0,2000.0,2015,12,0.0
34,2.0,22.0,100.0,134.0,1.0,3.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,2.0,3.0,7.0,1.0,2.0,2500.0,2015,12,2.0
35,13.0,46.0,127.0,4.0,1.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,2.0,8.0,2.0,1.0,5400.0,2015,12,1.0
36,2.0,37.0,134.0,27.0,1.0,2.0,1.0,0.0,8.0,2.0,0.0,0.0,2.0,2.0,1.0,7.0,2.0,2.0,8000.0,2015,12,3.0
37,4.0,32.0,112.0,99.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,4.0,1.0,8.0,2.0,6.0,5000.0,2015,12,1.0
38,1.0,3.0,59.0,0.0,0.0,2.0,1.0,0.0,9.0,2.0,0.0,0.0,1.0,2.0,3.0,9.0,1.0,2.0,5825.0,2015,12,4.0
39,0.0,0.0,0.0,100.0,2.0,3.0,2.0,0.0,10.0,0.0,1.0,0.0,2.0,1.0,2.0,11.0,4.0,1.0,14900.0,2015,12,1.0
40,3.0,30.0,125.0,126.0,13.0,2.0,0.0,0.0,7.0,1.0,3.0,0.0,2.0,1.0,3.0,11.0,2.0,2.0,5100.0,2015,12,2.0
41,0.0,0.0,0.0,59.0,1.0,1.0,0.0,1.0,7.0,0.0,1.0,0.0,2.0,1.0,1.0,11.0,2.0,1.0,5400.0,2015,12,1.0
42,0.0,0.0,0.0,136.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,2.0,2.0,0.0,6.0,3.0,2.0,8950.0,2015,12,1.0
43,1.0,43.0,140.0,123.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,5.0,5.0,1.0,18450.0,2015,12,0.0
44,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,2.0,3.0,5.0,3.0,4.0,8050.0,2016,1,1.0
45,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,6.0,3.0,2.0,10975.0,2016,1,0.0
46,3.0,2.0,4.0,140.0,1.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,5.0,2.0,3.0,4650.0,2016,1,2.0
47,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,7.0,1.0,3.0,2200.0,2016,1,0.0
48,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,7.0,2.0,3.0,10325.0,2016,1,1.0
49,3.0,31.0,107.0,4.0,3.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,5.0,8.0,2.0,3.0,7600.0,2016,1,0.0
50,3.0,0.0,6.0,0.0,0.0,4.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,5.0,8.0,1.0,3.0,3000.0,2016,1,1.0
51,1.0,9.0,45.0,24.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,4.0,5.0,2.0,1.0,4500.0,2016,1,2.0
52,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,2.0,5.0,4.0,2.0,11400.0,2016,1,1.0
53,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,6.0,1.0,1.0,2600.0,2016,1,0.0
54,2.0,28.0,107.0,107.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,7.0,1.0,2.0,4300.0,2016,1,0.0
55,1.0,1.0,1.0,6.0,3.0,4.0,2.0,1.0,1.0,0.0,4.0,0.0,2.0,1.0,6.0,10.0,2.0,1.0,4500.0,2016,1,1.0
56,3.0,11.0,39.0,45.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,7.0,10.0,2.0,2.0,4000.0,2016,1,0.0
57,2.0,24.0,117.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,2.0,4.0,8.0,9.0,2.0,4.0,4900.0,2016,1,1.0
58,1.0,53.0,160.0,107.0,2.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,8.0,3.0,2.0,8900.0,2016,1,4.0
59,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,12.0,4.0,1.0,10900.0,2016,1,2.0
60,1.0,1.0,1.0,39.0,3.0,8.0,0.0,1.0,2.0,1.0,4.0,0.0,1.0,2.0,8.0,16.0,3.0,2.0,6000.0,2016,1,0.0
61,2.0,13.0,43.0,117.0,2.0,6.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,8.0,14.0,2.0,2.0,5200.0,2016,1,2.0
62,0.0,0.0,0.0,1.0,1.0,5.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,7.0,11.0,1.0,2.0,2000.0,2016,1,0.0
63,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,2.0,4.0,4.0,1.0,12000.0,2016,2,1.0
64,2.0,52.0,169.0,160.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,5.0,3.0,4.0,5.0,5.0,3.0,13500.0,2016,2,0.0
65,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,5.0,6.0,8.0,4.0,20500.0,2016,2,1.0
66,2.0,36.0,154.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,7.0,8.0,1.0,3.0,2000.0,2016,2,0.0
67,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,7.0,8.0,2.0,2.0,5550.0,2016,2,1.0
68,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,7.0,1.0,1.0,2000.0,2016,2,1.0
69,3.0,7.0,26.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,4.0,8200.0,2016,2,3.0
70,10.0,18.0,37.0,168.0,2.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,1.0,3.0,2200.0,2016,2,1.0
71,1.0,51.0,171.0,0.0,0.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,5.0,2.0,7.0,2.0,5.0,12600.0,2016,2,3.0
72,1.0,1.0,1.0,154.0,2.0,2.0,0.0,3.0,6.0,1.0,3.0,0.0,4.0,6.0,4.0,11.0,5.0,8.0,18800.0,2016,2,1.0
73,4.0,16.0,61.0,1.0,1.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,4.0,9.0,1.0,1.0,2800.0,2016,2,2.0
74,2.0,40.0,186.0,1.0,1.0,4.0,2.0,2.0,5.0,0.0,2.0,0.0,1.0,2.0,7.0,13.0,1.0,2.0,3900.0,2016,2,2.0
75,1.0,20.0,71.0,26.0,3.0,4.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,3.0,6.0,11.0,4.0,3.0,13600.0,2016,2,1.0
76,1.0,1.0,3.0,37.0,10.0,6.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,10.0,1.0,1.0,4200.0,2016,2,1.0
77,0.0,0.0,0.0,171.0,1.0,5.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,2.0,7.0,10.0,6.0,2.0,19650.0,2016,2,1.0
78,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,5.0,8.0,2.0,5.0,5100.0,2016,2,0.0
79,2.0,30.0,118.0,61.0,4.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,4.0,6.0,5.0,1.0,13800.0,2016,2,1.0
80,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,4.0,6.0,2.0,1.0,6500.0,2016,2,0.0
81,0.0,0.0,0.0,71.0,1.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,5.0,7.0,4.0,2.0,8400.0,2016,2,2.0
82,2.0,58.0,152.0,3.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,0.0,3.0,3.0,5.0,9.0,4.0,4.0,9800.0,2016,2,2.0
83,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,5.0,10.0,2.0,1.0,4800.0,2016,2,1.0
84,3.0,37.0,108.0,0.0,0.0,6.0,1.0,1.0,4.0,2.0,0.0,0.0,2.0,5.0,4.0,10.0,2.0,6.0,5300.0,2016,2,1.0
85,0.0,0.0,0.0,118.0,2.0,5.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,5.0,10.0,2.0,2.0,7600.0,2016,2,1.0
86,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,7.0,13.0,2.0,5.0,5800.0,2016,2,2.0
87,0.0,0.0,0.0,0.0,0.0,11.0,2.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,13.0,19.0,3.0,2.0,7400.0,2016,2,5.0
88,4.0,56.0,185.0,0.0,0.0,15.0,2.0,1.0,5.0,0.0,0.0,0.0,3.0,2.0,13.0,23.0,4.0,4.0,13350.0,2016,3,4.0
89,1.0,3.0,8.0,152.0,2.0,14.0,2.0,3.0,6.0,0.0,1.0,0.0,3.0,3.0,13.0,25.0,3.0,4.0,8150.0,2016,3,6.0
90,3.0,53.0,183.0,0.0,0.0,20.0,1.0,1.0,10.0,0.0,2.0,0.0,3.0,1.0,15.0,32.0,3.0,2.0,7550.0,2016,3,4.0
91,5.0,29.0,112.0,108.0,3.0,26.0,6.0,1.0,9.0,1.0,1.0,0.0,3.0,2.0,18.0,36.0,4.0,2.0,12500.0,2016,3,7.0
92,5.0,58.0,155.0,0.0,0.0,35.0,4.0,1.0,7.0,0.0,1.0,0.0,3.0,2.0,20.0,44.0,6.0,2.0,33900.0,2016,3,1.0
93,2.0,2.0,6.0,0.0,0.0,32.0,5.0,1.0,8.0,0.0,1.0,0.0,5.0,2.0,18.0,39.0,9.0,2.0,25900.0,2016,3,0.0
94,0.0,0.0,0.0,185.0,4.0,10.0,10.0,2.0,6.0,1.0,0.0,0.0,5.0,3.0,11.0,18.0,8.0,4.0,29510.0,2016,3,1.0
95,2.0,52.0,199.0,8.0,1.0,5.0,11.0,2.0,5.0,0.0,0.0,0.0,7.0,3.0,5.0,9.0,16.0,3.0,51350.0,2016,3,1.0
96,1.0,6.0,13.0,183.0,3.0,5.0,14.0,2.0,2.0,1.0,0.0,0.0,7.0,3.0,1.0,6.0,12.0,3.0,36300.0,2016,3,1.0
97,1.0,3.0,12.0,109.0,5.0,4.0,7.0,1.0,1.0,1.0,1.0,0.0,6.0,3.0,2.0,5.0,16.0,4.0,59500.0,2016,3,1.0
98,2.0,21.0,35.0,153.0,5.0,2.0,1.0,6.0,2.0,0.0,0.0,0.0,7.0,3.0,2.0,5.0,11.0,6.0,38300.0,2016,3,1.0
99,0.0,0.0,0.0,6.0,2.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,4.0,5.0,2.0,5.0,4.0,9.0,14000.0,2016,3,0.0
100,1.0,0.0,1.0,198.0,2.0,3.0,1.0,5.0,3.0,2.0,0.0,0.0,2.0,5.0,1.0,5.0,2.0,8.0,6200.0,2016,3,0.0
101,2.0,41.0,178.0,12.0,1.0,3.0,1.0,10.0,1.0,4.0,0.0,0.0,1.0,7.0,2.0,5.0,1.0,16.0,2900.0,2016,3,3.0
102,1.0,3.0,3.0,35.0,2.0,6.0,0.0,11.0,2.0,0.0,0.0,0.0,2.0,7.0,2.0,8.0,2.0,12.0,6100.0,2016,3,0.0
103,1.0,0.0,1.0,0.0,0.0,5.0,1.0,14.0,2.0,1.0,0.0,0.0,2.0,6.0,3.0,6.0,2.0,16.0,5900.0,2016,3,2.0
104,5.0,64.0,241.0,247.0,2.0,5.0,0.0,7.0,2.0,3.0,0.0,0.0,1.0,7.0,2.0,7.0,1.0,11.0,3200.0,2016,3,0.0
105,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,2.0,4.0,1.0,4.0,2900.0,2016,3,1.0
106,2.0,67.0,243.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,4.0,3.0,3.0,11200.0,2016,3,0.0
107,0.0,0.0,0.0,3.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,2900.0,2016,3,1.0
108,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,4.0,1.0,9200.0,2016,3,0.0
109,0.0,0.0,0.0,241.0,5.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0,4.0,5.0,1.0,2.0,2900.0,2016,3,2.0
110,1.0,56.0,241.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,5.0,8.0,2.0,2.0,6350.0,2016,3,1.0
111,1.0,13.0,48.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,7.0,11.0,1.0,1.0,3400.0,2016,4,0.0
112,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,9.0,1.0,1.0,3000.0,2016,4,2.0
113,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,4.0,8.0,1.0,3.0,3200.0,2016,4,1.0
114,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,6.0,1.0,1.0,3500.0,2016,4,1.0
115,1.0,62.0,252.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,7.0,3.0,4.0,8000.0,2016,4,0.0
116,0.0,0.0,0.0,48.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,5.0,4.0,1.0,10700.0,2016,4,0.0
117,2.0,33.0,154.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,3.0,4.0,4.0,2.0,13000.0,2016,4,1.0
118,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,7.0,3.0,1.0,11200.0,2016,4,1.0
119,1.0,4.0,16.0,0.0,0.0,6.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,4.0,10.0,2.0,1.0,4900.0,2016,4,0.0
120,1.0,6.0,11.0,252.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,4.0,6.0,2.0,1.0,4600.0,2016,4,0.0
121,1.0,74.0,235.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,7.0,9.0,1.0,3.0,3200.0,2016,4,0.0
122,1.0,0.0,1.0,154.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,5.0,6.0,1.0,4.0,2600.0,2016,4,0.0
123,2.0,54.0,147.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,1.0,3400.0,2016,4,1.0
124,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,5.0,4.0,3.0,9300.0,2016,4,1.0
125,2.0,7.0,21.0,235.0,1.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,8.0,1.0,2.0,2000.0,2016,4,1.0
126,2.0,7.0,29.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,2.0,3.0,8.0,4.0,2.0,9200.0,2016,4,1.0
127,1.0,5.0,17.0,147.0,2.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,8.0,1.0,1.0,2900.0,2016,4,0.0
128,1.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,1.0,1.0,3700.0,2016,4,2.0
129,2.0,7.0,30.0,38.0,3.0,2.0,0.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,3.0,7.0,2.0,5.0,4300.0,2016,4,1.0
130,4.0,47.0,171.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,2.0,1.0,5800.0,2016,4,0.0
131,1.0,1.0,1.0,21.0,2.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,4.0,2.0,6.0,4.0,4.0,9800.0,2016,4,1.0
132,3.0,14.0,25.0,29.0,2.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,3.0,6.0,2.0,1.0,5900.0,2016,4,1.0
133,2.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,6.0,2.0,4.0,4900.0,2016,5,1.0
134,1.0,1.0,1.0,17.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,6.0,2.0,1.0,6900.0,2016,5,2.0
135,1.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,3.0,1.0,7600.0,2016,5,1.0
136,4.0,68.0,203.0,30.0,2.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,7.0,1.0,2.0,2300.0,2016,5,0.0
137,1.0,2.0,2.0,171.0,4.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,4.0,8.0,2.0,2.0,3500.0,2016,5,1.0
138,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0,2.0,4.0,7.0,3.0,4.0,10100.0,2016,5,4.0
139,2.0,2.0,2.0,25.0,3.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,4.0,10.0,1.0,2.0,2300.0,2016,5,3.0
140,1.0,0.0,1.0,3.0,2.0,7.0,2.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,11.0,2.0,2.0,4400.0,2016,5,2.0
141,3.0,2.0,7.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,12.0,3.0,2.0,15600.0,2016,5,1.0
142,3.0,12.0,34.0,1.0,1.0,6.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,10.0,2.0,3.0,5500.0,2016,5,3.0
143,5.0,69.0,239.0,203.0,4.0,5.0,1.0,1.0,4.0,0.0,1.0,0.0,2.0,1.0,2.0,10.0,3.0,1.0,8400.0,2016,5,1.0
144,3.0,2.0,5.0,2.0,1.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,8.0,2.0,2.0,5800.0,2016,5,2.0
145,5.0,2.0,7.0,1.0,1.0,5.0,3.0,1.0,3.0,1.0,1.0,0.0,4.0,2.0,2.0,8.0,5.0,3.0,14400.0,2016,5,1.0
146,4.0,51.0,179.0,2.0,2.0,4.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,3.0,7.0,4.0,1.0,11500.0,2016,5,1.0
147,3.0,6.0,10.0,7.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,7.0,3.0,2.0,8700.0,2016,5,1.0
148,3.0,10.0,31.0,34.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,5.0,3.0,3.0,6000.0,2016,5,1.0
149,0.0,0.0,0.0,239.0,5.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,3.0,2.0,3.0,6.0,4.0,2.0,10300.0,2016,5,1.0
150,3.0,2.0,6.0,5.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,4.0,8.0,1.0,3.0,2000.0,2016,5,2.0
151,8.0,74.0,263.0,7.0,5.0,5.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,5.0,11.0,3.0,2.0,7800.0,2016,5,2.0
152,1.0,2.0,3.0,179.0,4.0,6.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,4.0,2.0,9.0,3.0,5.0,8100.0,2016,5,1.0
153,2.0,2.0,2.0,2.0,2.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,7.0,1.0,4.0,2900.0,2016,5,3.0
154,5.0,8.0,11.0,10.0,3.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,1.0,3.0,2300.0,2016,5,2.0
